Postcode,SplitIndicator,CouncilArea2019Code,ElectoralWard2019Code,Islands2020Code,CouncilArea2019Name,ElectoralWard2019Name,Island2020Name,InhabitedStatus
FK2 8RUB,Y,S12000014,S13002939,000,Falkirk,"Carse, Kinnaird and Tryst",Mainland,Y
FK2 8RXA,Y,S12000030,S13003121,000,Stirling,Bannockburn,Mainland,Y
FK2 8RXB,Y,S12000014,S13002939,000,Falkirk,"Carse, Kinnaird and Tryst",Mainland,Y
FK2 8RYA,Y,S12000014,S13002939,000,Falkirk,"Carse, Kinnaird and Tryst",Mainland,Y
FK2 8RYB,Y,S12000030,S13003121,000,Stirling,Bannockburn,Mainland,Y
FK21 8SXA,Y,S12000030,S13003115,000,Stirling,Trossachs and Teith,Mainland,Y
FK21 8SXB,Y,S12000048,S13003066,000,Perth and Kinross,Highland,Mainland,Y
FK21 8TLA,Y,S12000030,S13003115,000,Stirling,Trossachs and Teith,Mainland,Y
FK21 8TLB,Y,S12000048,S13003066,000,Perth and Kinross,Highland,Mainland,Y
FK21 8TXA,Y,S12000048,S13003066,000,Perth and Kinross,Highland,Mainland,Y
FK21 8TXB,Y,S12000030,S13003115,000,Stirling,Trossachs and Teith,Mainland,Y
FK6 5JFA,Y,S12000014,S13002938,000,Falkirk,Denny and Banknock,Mainland,Y
FK6 5JFB,Y,S12000030,S13003119,000,Stirling,Stirling West,Mainland,Y
FK6 6RHA,Y,S12000014,S13002938,000,Falkirk,Denny and Banknock,Mainland,Y
FK6 6RHB,Y,S12000030,S13003121,000,Stirling,Bannockburn,Mainland,Y
FK8 3RAA,Y,S12000030,S13003115,000,Stirling,Trossachs and Teith,Mainland,Y
FK8 3RAB,Y,S12000030,S13003115,168,Stirling,Trossachs and Teith,Inchmahome,Y
FK9 5QEA,Y,S12000030,S13003118,000,Stirling,Stirling North,Mainland,Y
FK9 5QEB,Y,S12000005,S13002875,000,Clackmannanshire,Clackmannanshire West,Mainland,Y
G23 5HEA,Y,S12000045,S13002904,000,East Dunbartonshire,Bishopbriggs North and Campsie,Mainland,Y
G23 5HEB,Y,S12000049,S13002982,000,Glasgow City,Canal,Mainland,Y
G33 1RZA,Y,S12000049,S13002983,000,Glasgow City,Springburn/Robroyston,Mainland,Y
G33 1RZB,Y,S12000045,S13002905,000,East Dunbartonshire,Bishopbriggs South,Mainland,Y
G33 1SAA,Y,S12000049,S13002983,000,Glasgow City,Springburn/Robroyston,Mainland,Y
G33 1SAB,Y,S12000045,S13002905,000,East Dunbartonshire,Bishopbriggs South,Mainland,Y
G33 1SHA,Y,S12000049,S13002983,000,Glasgow City,Springburn/Robroyston,Mainland,Y
G33 1SHB,Y,S12000045,S13002905,000,East Dunbartonshire,Bishopbriggs South,Mainland,Y
G33 1SZA,Y,S12000045,S13002905,000,East Dunbartonshire,Bishopbriggs South,Mainland,Y
G33 1SZB,Y,S12000049,S13002983,000,Glasgow City,Springburn/Robroyston,Mainland,Y
G33 6LYA,Y,S12000049,S13002983,000,Glasgow City,Springburn/Robroyston,Mainland,Y
G33 6LYB,Y,S12000050,S13003134,000,North Lanarkshire,"Stepps, Chryston and Muirhead",Mainland,Y
G44 3HQA,Y,S12000049,S13002968,000,Glasgow City,Newlands/Auldburn,Mainland,Y
G44 3HQB,Y,S12000011,S13002916,000,East Renfrewshire,Giffnock and Thornliebank,Mainland,Y
G44 3LPA,Y,S12000049,S13002967,000,Glasgow City,Linn,Mainland,Y
G44 3LPB,Y,S12000011,S13002917,000,East Renfrewshire,"Clarkston, Netherlee and Williamwood",Mainland,Y
G46 8JEA,Y,S12000011,S13002916,000,East Renfrewshire,Giffnock and Thornliebank,Mainland,Y
G46 8JEB,Y,S12000049,S13002968,000,Glasgow City,Newlands/Auldburn,Mainland,Y
G46 8NPA,Y,S12000049,S13002968,000,Glasgow City,Newlands/Auldburn,Mainland,Y
G46 8NPB,Y,S12000011,S13002916,000,East Renfrewshire,Giffnock and Thornliebank,Mainland,Y
G46 8NRA,Y,S12000049,S13002968,000,Glasgow City,Newlands/Auldburn,Mainland,Y
G46 8NRB,Y,S12000011,S13002916,000,East Renfrewshire,Giffnock and Thornliebank,Mainland,Y
G52 4BLA,Y,S12000038,S13003076,000,Renfrewshire,Renfrew South and Gallowhill,Mainland,Y
G52 4BLB,Y,S12000049,S13002970,000,Glasgow City,Cardonald,Mainland,Y
G52 4RUA,Y,S12000049,S13002970,000,Glasgow City,Cardonald,Mainland,Y
G52 4RUB,Y,S12000038,S13003076,000,Renfrewshire,Renfrew South and Gallowhill,Mainland,Y
G53 7TGA,Y,S12000011,S13002914,000,East Renfrewshire,"Barrhead, Liboside and Uplawmoor",Mainland,Y
G53 7TGB,Y,S12000049,S13002969,000,Glasgow City,Greater Pollok,Mainland,Y
G61 1QBA,Y,S12000045,S13002903,000,East Dunbartonshire,Bearsden South,Mainland,Y
G61 1QBB,Y,S12000049,S13002980,000,Glasgow City,Drumchapel/Anniesland,Mainland,Y
G62 8LBA,Y,S12000045,S13002904,000,East Dunbartonshire,Bishopbriggs North and Campsie,Mainland,Y
G62 8LBB,Y,S12000030,S13003116,000,Stirling,Forth and Endrick,Mainland,Y
G63 0XLA,Y,S12000045,S13002904,000,East Dunbartonshire,Bishopbriggs North and Campsie,Mainland,Y
G63 0XLB,Y,S12000030,S13003116,000,Stirling,Forth and Endrick,Mainland,Y
G64 1UNA,Y,S12000050,S13003134,000,North Lanarkshire,"Stepps, Chryston and Muirhead",Mainland,Y
G64 1UNB,Y,S12000045,S13002905,000,East Dunbartonshire,Bishopbriggs South,Mainland,Y
G64 1URA,Y,S12000045,S13002905,000,East Dunbartonshire,Bishopbriggs South,Mainland,Y
G64 1URB,Y,S12000049,S13002983,000,Glasgow City,Springburn/Robroyston,Mainland,Y
G66 8ALA,Y,S12000050,S13003042,000,North Lanarkshire,Kilsyth,Mainland,Y
G66 8ALB,Y,S12000045,S13002904,000,East Dunbartonshire,Bishopbriggs North and Campsie,Mainland,Y
G69 6UBA,Y,S12000049,S13002986,000,Glasgow City,Baillieston,Mainland,Y
G69 6UBB,Y,S12000050,S13003051,000,North Lanarkshire,Coatbridge West,Mainland,Y
G69 9HRA,Y,S12000050,S13003134,000,North Lanarkshire,"Stepps, Chryston and Muirhead",Mainland,Y
G69 9HRB,Y,S12000045,S13002906,000,East Dunbartonshire,Lenzie and Kirkintilloch South,Mainland,Y
G71 8BQA,Y,S12000029,S13003110,000,South Lanarkshire,Bothwell and Uddingston,Mainland,Y
G71 8BQB,Y,S12000050,S13003056,000,North Lanarkshire,Bellshill,Mainland,Y
G73 1DBA,Y,S12000029,S13003106,000,South Lanarkshire,Rutherglen Central and North,Mainland,Y
G73 1DBB,Y,S12000049,S13002974,000,Glasgow City,Southside Central,Mainland,Y
G76 8RUA,Y,S12000029,S13003103,000,South Lanarkshire,East Kilbride West,Mainland,Y
G76 8RUB,Y,S12000011,S13002917,000,East Renfrewshire,"Clarkston, Netherlee and Williamwood",Mainland,Y
G78 3ANA,Y,S12000038,S13003081,000,Renfrewshire,Paisley Southwest,Mainland,Y
G78 3ANB,Y,S12000011,S13002914,000,East Renfrewshire,"Barrhead, Liboside and Uplawmoor",Mainland,Y
G78 4DEA,Y,S12000011,S13002914,000,East Renfrewshire,"Barrhead, Liboside and Uplawmoor",Mainland,Y
G78 4DEB,Y,S12000008,S13002892,000,East Ayrshire,Annick,Mainland,Y
G81 1ETA,Y,S12000039,S13003127,000,West Dunbartonshire,Clydebank Waterfront,Mainland,Y
G81 1ETB,Y,S12000049,S13002979,000,Glasgow City,Garscadden/Scotstounhill,Mainland,Y
G81 1EWA,Y,S12000039,S13003127,000,West Dunbartonshire,Clydebank Waterfront,Mainland,Y
G81 1EWB,Y,S12000049,S13002979,000,Glasgow City,Garscadden/Scotstounhill,Mainland,Y
G81 5QRA,Y,S12000039,S13003125,000,West Dunbartonshire,Kilpatrick,Mainland,Y
G81 5QRB,Y,S12000045,S13002902,000,East Dunbartonshire,Bearsden North,Mainland,Y
G83 7DXA,Y,S12000030,S13003115,000,Stirling,Trossachs and Teith,Mainland,Y
G83 7DXB,Y,S12000035,S13002524,000,Argyll and Bute,Lomond North,Mainland,Y
G83 8QZA,Y,S12000035,S13002526,000,Argyll and Bute,Helensburgh and Lomond South,Mainland,Y
G83 8QZB,Y,S12000039,S13003122,000,West Dunbartonshire,Lomond,Mainland,Y
G83 8RZA,Y,S12000039,S13003122,000,West Dunbartonshire,Lomond,Mainland,Y
G83 8RZB,Y,S12000030,S13003116,000,Stirling,Forth and Endrick,Mainland,Y
G83 8SBA,Y,S12000039,S13003122,000,West Dunbartonshire,Lomond,Mainland,Y
G83 8SBB,Y,S12000030,S13003116,000,Stirling,Forth and Endrick,Mainland,Y
G83 8SDA,Y,S12000039,S13003122,000,West Dunbartonshire,Lomond,Mainland,Y
G83 8SDB,Y,S12000030,S13003116,000,Stirling,Forth and Endrick,Mainland,Y
G83 9LXA,Y,S12000039,S13003122,000,West Dunbartonshire,Lomond,Mainland,Y
G83 9LXB,Y,S12000030,S13003116,000,Stirling,Forth and Endrick,Mainland,Y
